,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
6794,2016021060.0,8469608.0,L,95.0,80.0,97.05882353,2017020397_21,Even,False,False,100.0
6447,2015020513.0,8470645.0,L,87.5,90.0,85.71428571,2015020837_144,Even,False,False,100.0
6823,2017020029.0,8476434.0,L,91.89189189,100.0,89.28571429,2017020179_221,Even,True,False,100.0
6818,2015021181.0,8474596.0,W,100.0,100.0,100.0,2016020901_128,Even,False,False,100.0
6817,2017020976.0,8476509.0,L,86.66666667,90.0,84.21052632,2016020901_86,Even,False,False,100.0
6816,2017020976.0,8475789.0,W,97.61904762,100.0,96.15384615,2016020901_71,Even,True,False,100.0
6815,2015021042.0,8473541.0,W,96.2962963,100.0,95.23809524,2016020901_51,Even,False,False,100.0
6814,2015021042.0,8476883.0,L,90.90909091,100.0,88.88888889,2016020901_46,Even,False,False,100.0
6808,2015020787.0,8474651.0,W,94.28571429,100.0,92.0,2016020757_7,Even,True,False,100.0
6453,2015020121.0,8475299.0,L,88.57142857,75.0,90.0,2017020167_176,Even,False,False,100.0
6807,2015020787.0,8473461.0,L,90.0,100.0,89.28571429,2015020282_343,Even,False,False,100.0
6802,2015020438.0,8471750.0,L,90.0,100.0,87.5,2016020589_288,Power Play,False,False,100.0
6461,2016020381.0,8475683.0,W,94.44444444,0.0,100.0,2017020738_255,Even,False,False,100.0
6799,2017020686.0,8471306.0,W,92.85714286,88.88888889,93.47826087,2016020589_74,Even,False,False,100.0
6797,2016020210.0,8474636.0,L,89.28571429,80.0,88.88888889,2016020589_8,Even,False,False,100.0
